 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Amazonas
Freqüência por Município de notificação e Ano da Notific
País de residência: 1    BRASIL
UF Ocorrência: 13 Amazonas
Sexo: Feminino
Período:2025
"Município de notificação";"2025";"Total"
"130002 ALVARAES";30;30
"130006 AMATURA";17;17
"130008 ANAMA";10;10
"130010 ANORI";5;5
"130014 APUI";15;15
"130020 ATALAIA DO NORTE";67;67
"130030 AUTAZES";42;42
"130040 BARCELOS";83;83
"130050 BARREIRINHA";100;100
"130060 BENJAMIN CONSTANT";120;120
"130063 BERURI";30;30
"130068 BOA VISTA DO RAMOS";17;17
"130070 BOCA DO ACRE";39;39
"130080 BORBA";118;118
"130083 CAAPIRANGA";7;7
"130090 CANUTAMA";6;6
"130100 CARAUARI";91;91
"130110 CAREIRO";76;76
"130115 CAREIRO DA VARZEA";5;5
"130120 COARI";261;261
"130130 CODAJAS";14;14
"130140 EIRUNEPE";145;145
"130150 ENVIRA";60;60
"130160 FONTE BOA";61;61
"130165 GUAJARA";52;52
"130170 HUMAITA";101;101
"130180 IPIXUNA";37;37
"130185 IRANDUBA";21;21
"130190 ITACOATIARA";228;228
"130195 ITAMARATI";8;8
"130200 ITAPIRANGA";20;20
"130210 JAPURA";9;9
"130220 JURUA";31;31
"130230 JUTAI";33;33
"130240 LABREA";41;41
"130250 MANACAPURU";350;350
"130255 MANAQUIRI";34;34
"130260 MANAUS";2497;2497
"130270 MANICORE";79;79
"130280 MARAA";53;53
"130290 MAUES";209;209
"130300 NHAMUNDA";25;25
"130310 NOVA OLINDA DO NORTE";45;45
"130320 NOVO AIRAO";20;20
"130330 NOVO ARIPUANA";34;34
"130340 PARINTINS";228;228
"130350 PAUINI";24;24
"130353 PRESIDENTE FIGUEIREDO";91;91
"130356 RIO PRETO DA EVA";37;37
"130360 SANTA ISABEL DO RIO NEGRO";44;44
"130370 SANTO ANTONIO DO ICA";87;87
"130380 SAO GABRIEL DA CACHOEIRA";168;168
"130390 SAO PAULO DE OLIVENCA";83;83
"130395 SAO SEBASTIAO DO UATUMA";17;17
"130400 SILVES";61;61
"130406 TABATINGA";93;93
"130410 TAPAUA";15;15
"130420 TEFE";321;321
"130423 TONANTINS";93;93
"130426 UARINI";13;13
"130430 URUCARA";28;28
"130440 URUCURITUBA";9;9
"Total";6758;6758
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025, correção em 12/01/2026.
 Dados de 2024 atualizados em 12/03/2026.
 Dados de 2025 atualizados em 15/01/2026, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em março de 2026
 
