Nome,Nº Identificador,UF,Município,
,CRAS UNIÃO,13026004389,AM,MANAUS
,CRAS ALFREDO NASCIMENTO,13026002579,AM,MANAUS
,CRAS CACHOEIRINHA,13026002589,AM,MANAUS
,CRAS SÃO JOSE III,13026002718,AM,MANAUS
,CRAS ALVORADA I,13026002590,AM,MANAUS
,CRAS MUTIRÃO,13026002599,AM,MANAUS
,CRAS CRESPO,13026002719,AM,MANAUS
,CRAS Compensa I,13026002585,AM,MANAUS
,CRAS BETÂNIA,13026002583,AM,MANAUS
,CRAS COMPENSA II,13026002644,AM,MANAUS
,CRAS SÃO JOSÉ IV,13026002721,AM,MANAUS
,CRAS CIDADE NOVA,13026002569,AM,MANAUS
,CRAS REDENÇÃO,13026002633,AM,MANAUS
,CRAS SÃO RAIMUNDO,13026032421,AM,MANAUS
,CRAS COLÔNIA ANTÔNIO ALEIXO,13026032471,AM,MANAUS
,CRAS TERRA NOVA,13026034687,AM,MANAUS
,CRAS Alvorada III,13026034697,AM,MANAUS
,CRAS NOSSA SENHORA DA CONCEICÃO,13026034709,AM,MANAUS
,CRAS JAPIIM,13026038558,AM,MANAUS
,CRAS PROURBIS,13026038560,AM,MANAUS
