Nome,Nº Identificador,UF,Município,
,CREAS Centro de Referencia Especializado da Assistência Social - Mariana Seabra Nascimento,11304232898,AM,TONANTINS
,CREAS,13003093742,AM,AUTAZES
,CREAS - Casa da Esperança,11300602644,AM,BENJAMIN CONSTANT
,CREAS,13020098456,AM,ITAPIRANGA
,CREAS IPIXUNA,13018098252,AM,IPIXUNA
,CREAS,13007099088,AM,BOCA DO ACRE
,CREAS,11300503487,AM,BARREIRINHA
,CREAS - CENTRO DE REFERÊNCIA ESPECIALIZADO DE ASSISTÊNCIA SOCIAL,13006398350,AM,BERURI
,CREAS,13006894802,AM,BOA VISTA DO RAMOS
,CREAS SANTA SOUZA,13008098234,AM,BORBA
,CREAS - CENTRO DE REFERENCIA ESPECIALIZADA DE ASSISTENCIA SOCIAL,11303403114,AM,PARINTINS
,CREAS CENTRO SUL,11302602018,AM,MANAUS
,CREAS CIDADE NOVA,13026096252,AM,MANAUS
,CREAS SUL,13026098544,AM,MANAUS
,CREAS LESTE/PROURBIS,13026098550,AM,MANAUS
,CREAS CENTRO OESTE,13026098552,AM,MANAUS
,CREAS CENTRO DE REFERÊNCIA ESPECIALIZADA DA ASSISTENCIA SOCIAL,11304101732,AM,TAPAUA
,CREAS,13001499681,AM,APUI
,CREAS IZAURA FERREIRA MARTINS,13008398464,AM,CAAPIRANGA
,CREAS ELINEY FERREIRA MENDES,11301200453,AM,COARI
,CREAS,13011096632,AM,CAREIRO
,CREAS,13011594476,AM,CAREIRO DA VARZEA
,CREAS - SEBASTIANA ENOY MONTEIRO GOMES,13014099342,AM,EIRUNEPE
,CREAS,13022099172,AM,JURUA
,CREAS - Centro de Referência Especializado de Assistência Social,11302403094,AM,LABREA
,CREAS - CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL,11302902474,AM,MAUES
,CREAS - Laurinete Ferreira de Oliveira,11302502434,AM,MANACAPURU
,CREAS,13025597615,AM,MANAQUIRI
,CREAS,13035099849,AM,PAUINI
,CREAS EDSON DE SOUZA PASSOS,13033097780,AM,NOVO ARIPUANA
,CREAS,13035694418,AM,RIO PRETO DA EVA
,CREAS,13039599587,AM,SAO SEBASTIAO DO UATUMA
,CREAS TEFE I,11304201905,AM,TEFE
,CREAS -CENTRO DE REFERENCIA ESPECIALIZADO DA ASSISTENCIA SOCIAL,11304303115,AM,URUCARA
,CREAS,13044098960,AM,URUCURITUBA
,CREAS - Centro de Referência Especializada de Assistência Social,11300023129,AM,ALVARAES
,CREAS,13001099535,AM,ANORI
,CREAS - SENTINELA DO JAVARÍ,13002098356,AM,ATALAIA DO NORTE
,CREAS - CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL,11300400493,AM,BARCELOS
,CREAS CARAUARI,11301002668,AM,CARAUARI
,CREAS,13015098764,AM,ENVIRA
,CREAS JUTAI,13023098326,AM,JUTAI
,CREAS MARIA DA GLORIA DOS REIS MORAIS,13027098360,AM,MANICORE
,CREAS MARAA,11302803106,AM,MARAA
,CREAS -Centro de Referência Especializado de Assistência Social,13032096096,AM,NOVO AIRAO
,CREAS Centro de Referência Especializado da Assistência Social de Nhamundá,11303002411,AM,NHAMUNDA
,CREAS Nova Olinda do Norte,11303102486,AM,NOVA OLINDA DO NORTE
,CREAS CENTRO DE REFERENCIA ESPECIALIZADO DA ASSISTENCIA SOCIAL,11303532351,AM,PRESIDENTE FIGUEIREDO
,CREAS,13036096942,AM,SANTA ISABEL DO RIO NEGRO
,CREAS - Centro de Referencia Especializada de Assistencia,11303802871,AM,SAO GABRIEL DA CACHOEIRA
,CREAS DE SANTO ANTONIO DO ICA,13037098050,AM,SANTO ANTONIO DO ICA
,CREAS,13039099208,AM,SAO PAULO DE OLIVENCA
,CREAS TABATINGA,11304062554,AM,TABATINGA
,CREAS IRANDUBA,13018594210,AM,IRANDUBA
,CREAS CENTRO ESPECIALIZADO DE REFERÊNCIA DA ASSISTÊNCIA SOCIAL,11301902851,AM,ITACOATIARA
,CREAS CODAJÁS ELZA DE LIMA MAIA,13013099226,AM,CODAJAS
,CREAS,13019598346,AM,ITAMARATI
,CREAS CENTRO DE REFERÊNCIA ESPECIALIZADO DE ASSISTÊNCIA SOCIAL,11300902055,AM,CANUTAMA
,CREAS,13021098380,AM,JAPURA
,CREAS,13016096430,AM,FONTE BOA
,CREAS - CASA DOS DIREITOS ESPECIAIS,13017095464,AM,HUMAITA
