tipo,nome,identificador,uf,municipio
CRAS,CRAS 7 de Setembro,,AM,Urucurituba
CRAS,CRAS Crispim Lobo,,AM,Urucará
CRAS,CRAS Castelo Branco,,AM,Uarini
CRAS,CRAS Benjamin Constant,,AM,Tonantins
CRAS,CRAS Jerusalém,,AM,Tefé
CRAS,CRAS Abial,,AM,Tefé
CRAS,CRAS Monteiro de Souza,,AM,Tefé
CRAS,CRAS Central de Tapauá,,AM,Tapauá
CRAS,CRAS Comunidade São Francisco,,AM,Tabatinga
CRAS,CRAS Marechal Mallet,,AM,Tabatinga
CRAS,CRAS Coronel José Esteves,,AM,Silves
CRAS,CRAS Centro,,AM,São Sebastião do Uatumã
CRAS,CRAS Barão do Rio Branco,,AM,São Paulo de Olivença
CRAS,CRAS Dabaru,,AM,São Gabriel da Cachoeira
CRAS,CRAS Álvaro Maia,,AM,São Gabriel da Cachoeira
CRAS,CRAS Rui Barbosa,,AM,Santo Antônio do Içá
CRAS,CRAS João Pessoa,,AM,Santa Isabel do Rio Negro
CRAS,CRAS Governador Ângelo Amaral,,AM,Rio Preto da Eva
CRAS,CRAS Maroaga,,AM,Presidente Figueiredo
CRAS,CRAS Urubuí,,AM,Presidente Figueiredo
CRAS,CRAS Getúlio Vargas,,AM,Pauini
CRAS,CRAS Itaúna II,,AM,Parintins
CRAS,CRAS União,,AM,Parintins
CRAS,CRAS Paulo Corrêa,,AM,Parintins
CRAS,CRAS Vila Novo Horizonte,,AM,Novo Aripuanã
CRAS,CRAS 16 de Fevereiro,,AM,Novo Aripuanã
CRAS,CRAS Antenor Carlos Frederico,,AM,Novo Airão
CRAS,CRAS Triunfo,,AM,Nova Olinda do Norte
CRAS,CRAS Furtado Belém,,AM,Nhamundá
CRAS,CRAS Castelo Branco,,AM,Maraã
CRAS,CRAS Auxiliadora,,AM,Manicoré
CRAS,CRAS 5 de Setembro,,AM,Manaquiri
CRAS,CRAS Novo Manacá,,AM,Manacapuru
CRAS,CRAS São José,,AM,Manacapuru
CRAS,CRAS Terra Preta,,AM,Manacapuru
CRAS,CRAS 22 de Outubro,,AM,Lábrea
CRAS,CRAS Francisco de Paula,,AM,Juruá
CRAS,CRAS Coronel Salgado,,AM,Japurá
CRAS,CRAS Beira Rio,,AM,Itamarati
CRAS,CRAS Mamoud Amed,,AM,Itacoatiara
CRAS,CRAS Jauary,,AM,Itacoatiara
CRAS,CRAS Benjamin Constant,,AM,Itacoatiara
CRAS,CRAS Rio Madeira,,AM,Iranduba
CRAS,CRAS Amazonas,,AM,Ipixuna
CRAS,CRAS São Domingos Sávio,,AM,Humaitá
CRAS,CRAS 5 de Setembro,,AM,Humaitá
CRAS,CRAS Marechal Rondon,,AM,Fonte Boa
CRAS,CRAS Senador Fábio Lucena,,AM,Envira
CRAS,CRAS Santo Antônio,,AM,Eirunepé
CRAS,CRAS Getúlio Vargas,,AM,Eirunepé
CRAS,CRAS Quintino Bocaiuva,,AM,Codajás
CRAS,CRAS Urucu,,AM,Coari
CRAS,CRAS 5 de Setembro,,AM,Coari
CRAS,CRAS Solimões,,AM,Careiro da Várzea
CRAS,CRAS Santa Luzia,,AM,Carauari
CRAS,CRAS Rui Barbosa,,AM,Carauari
CRAS,CRAS João Batista,,AM,Canutama
CRAS,CRAS Marechal Deodoro,,AM,Caapiranga
CRAS,CRAS Getúlio Vargas,,AM,Borba
CRAS,CRAS Platô do Piquiá,,AM,Boca do Acre
CRAS,CRAS 7 de Setembro,,AM,Boca do Acre
CRAS,CRAS Castelo Branco,,AM,Boa Vista do Ramos
CRAS,CRAS Frei Ludovico,,AM,Benjamin Constant
CRAS,CRAS Boa Vista,,AM,Barreirinha
CRAS,CRAS Tenreiro Aranha,,AM,Barcelos
CRAS,CRAS 1º de Maio,,AM,Atalaia do Norte
CRAS,CRAS 31 de Março,,AM,Anori
CRAS,CRAS Raimundo Pereira,,AM,Anamã
CRAS,CRAS Beira Rio,,AM,Amaturá
CRAS,CRAS João Paulo II,,AM,Alvarães
CRAS,CRAS Donga Michiles,,AM,Maués
CRAS,CRAS Quintino Bocaiuva,,AM,Maués
CRAS,CRAS Getúlio Vargas,,AM,Autazes
CRAS,CRAS Amazonas,,AM,Apuí
CRAS,CRAS Autazes,,AM,Autazes
CRAS,CRAS Braga Mendes,,AM,Manaus
CRAS,CRAS Compensa II,,AM,Manaus
CRAS,CRAS Compensa I,,AM,Manaus
CRAS,CRAS Prourbis,,AM,Manaus
CRAS,CRAS Japiim,,AM,Manaus
CRAS,CRAS Crespo II,,AM,Manaus
CRAS,CRAS Crespo I,,AM,Manaus
CRAS,CRAS Cachoeirinha,,AM,Manaus
CRAS,CRAS Betânia,,AM,Manaus
CRAS,CRAS Alvorada III,,AM,Manaus
CRAS,CRAS Alvorada I,,AM,Manaus
CRAS,CRAS Alfredo Nascimento,,AM,Manaus
CRAS,CRAS Terra Nova,,AM,Manaus
CRAS,CRAS Cidade Nova,,AM,Manaus
CRAS,CRAS Jorge Teixeira,,AM,Manaus
