codigo_ibge,municipio,uf,latitude,longitude
130002,Alvarães,AM,-3.215579,-64.814833
130006,Amaturá,AM,-3.364051,-68.199469
130008,Anamã,AM,-3.579736,-61.405
130010,Anori,AM,-3.743525,-61.66052
130014,Apuí,AM,-7.194019,-59.883019
130020,Atalaia do Norte,AM,-4.365855,-70.190874
130030,Autazes,AM,-3.583328,-59.130152
130040,Barcelos,AM,-0.972921,-62.925635
130050,Barreirinha,AM,-2.798863,-57.067897
130060,Benjamin Constant,AM,-4.378275,-70.02906
130063,Beruri,AM,-3.900714,-61.371732
130068,Boa Vista do Ramos,AM,-2.971693,-57.586982
130070,Boca do Acre,AM,-8.755349,-67.393087
130080,Borba,AM,-4.393478,-59.594772
130083,Caapiranga,AM,-3.318888,-61.20964
130090,Canutama,AM,-6.533002,-64.383497
130100,Carauari,AM,-4.876643,-66.896143
130110,Careiro,AM,-3.818528,-60.361651
130115,Careiro da Várzea,AM,-3.197024,-59.82591
130120,Coari,AM,-4.088596,-63.143117
130130,Codajás,AM,-3.84132,-62.060344
130140,Eirunepé,AM,-6.656765,-69.866161
130150,Envira,AM,-7.437889,-70.028143
130160,Fonte Boa,AM,-2.514746,-66.094842
130165,Guajará,AM,-7.545593,-72.583277
130170,Humaitá,AM,-7.50994,-63.024867
130180,Ipixuna,AM,-7.050283,-71.691232
130185,Iranduba,AM,-3.27582,-60.186743
130190,Itacoatiara,AM,-3.14779,-58.446104
130195,Itamarati,AM,-6.438519,-68.243739
130200,Itapiranga,AM,-2.74612,-58.025377
130210,Japurá,AM,-1.880847,-66.996766
130220,Juruá,AM,-3.474667,-66.062234
130230,Jutaí,AM,-2.747148,-66.772126
130240,Lábrea,AM,-7.261368,-64.792451
130250,Manacapuru,AM,-3.299677,-60.621353
130255,Manaquiri,AM,-3.430588,-60.459308
130260,Manaus,AM,-3.131633,-59.982504
130270,Manicoré,AM,-5.804618,-61.289483
130280,Maraã,AM,-1.853558,-65.589775
130290,Maués,AM,-3.37958,-57.719607
130300,Nhamundá,AM,-2.192152,-56.711131
130310,Nova Olinda do Norte,AM,-3.894466,-59.088384
130320,Novo Airão,AM,-2.626024,-60.943441
130330,Novo Aripuanã,AM,-5.125929,-60.373179
130340,Parintins,AM,-2.634457,-56.731932
130350,Pauini,AM,-7.712221,-66.999844
130353,Presidente Figueiredo,AM,-2.048636,-60.023666
130356,Rio Preto da Eva,AM,-2.699065,-59.701249
130360,Santa Isabel do Rio Negro,AM,-0.416039,-65.01531
130370,Santo Antônio do Içá,AM,-3.095443,-67.946279
130380,São Gabriel da Cachoeira,AM,-0.124971,-67.081385
130390,São Paulo de Olivença,AM,-3.465063,-68.946846
130395,São Sebastião do Uatumã,AM,-2.571934,-57.870362
130400,Silves,AM,-2.837261,-58.21052
130406,Tabatinga,AM,-4.224725,-69.93622
130410,Tapauá,AM,-5.623228,-63.187916
130420,Tefé,AM,-3.348528,-64.710228
130423,Tonantins,AM,-2.86261,-67.773548
130426,Uarini,AM,-2.982706,-65.157861
130430,Urucará,AM,-2.537073,-57.759025
130440,Urucurituba,AM,-3.130433,-58.154916
