tipo,nome,municipio,uf,endereco,horario,latitude,longitude,regiao,fonte
CRAS,Centro De Referência De Assistência Social - Cidade Nova,Manaus,AM,"AVENIDA C, QD 67, 46, CIDADE NOVA, MANAUS, AM",08h-17h,-3.014109134503321,-59.97057795524598,Capital,Planilha unidades enfrentamento AM
CRAS,Centro De Referência De Assistência Social - Alfredo Nascimento,Manaus,AM,"RUA IGARAPÉ ARARA, 326, ALFREDO NASCIMENTO, MANAUS, AM",08h-17h,-3.016455496651698,-59.95164155960084,Capital,Planilha unidades enfrentamento AM
CRAS,Centro De Referência De Assistência Social - Betânia,Manaus,AM,"RUA Sao Lazaro, 26, Betânia, MANAUS, AM",08h-17h,-3.132717212260845,-59.995387196586314,Capital,Planilha unidades enfrentamento AM
CRAS,Centro De Referência De Assistência Social - Compensa I,Manaus,AM,"RUA RUA DA INDÚSTRIA , 20, COMPENSA I, MANAUS, AM",08h-17h,-3.1020781483544244,-60.051942765712745,Capital,Planilha unidades enfrentamento AM
CRAS,Centro De Referência De Assistência Social - Cachoeirinha,Manaus,AM,"AVENIDA CARVALHO LEAL, 1151, CACHOEIRINHA, MANAUS, AM",08h-17h,-3.125303926314782,-60.00631570816041,Capital,Planilha unidades enfrentamento AM
CRAS,Centro De Referência De Assistência Social -,Manaus,AM,"RUA PROFESSOR ABILIO ALENCAR, 0, ALVORADA I, MANAUS, AM",08h-17h,-3.0783911860099935,-60.03645300865174,Capital,Planilha unidades enfrentamento AM
CRAS,Centro De Referência De Assistência Social -,Manaus,AM,"RUA GREVILLIA, 85, NOVO ALEIXO, MANAUS, AM",08h-17h,-3.035847610596379,-59.94204998016358,Capital,Planilha unidades enfrentamento AM
CRAS,Centro De Referência De Assistência Social -,Manaus,AM,"RUA OLINDA, 122, REDENÇÃO, MANAUS, AM",08h-17h,-3.055707202967667,-60.04647940389987,Capital,Planilha unidades enfrentamento AM
CRAS,Centro De Referência De Assistência Social -,Manaus,AM,"RUA EDUARDO PRADO, 0, COMPENSA 2, MANAUS, AM",08h-17h,-3.1009883,-60.0616391,Capital,Planilha unidades enfrentamento AM
CRAS,Centro De Referência De Assistência Social -,Manaus,AM,"RUA RIO DIMITI, 0, SÃO JOSE III, MANAUS, AM",08h-17h,-3.0649458416531874,-59.94413137435914,Capital,Planilha unidades enfrentamento AM
CRAS,Centro De Referência De Assistência Social -,Manaus,AM,"RUA MAGALHÃES BARATA, 0, CRESPO, MANAUS, AM",08h-17h,-3.1344949,-59.9905584,Capital,Planilha unidades enfrentamento AM
CRAS,Centro De Referência De Assistência Social -,Manaus,AM,"RUA BARREIRINHA, 000, SAO JOSE III, MANAUS, AM",08h-17h,-3.070548981828303,-59.92693305015565,Capital,Planilha unidades enfrentamento AM
CRAS,Centro De Referência De Assistência Social -,Manaus,AM,"AVENIDA DESEMBARGADOR GASPAR GUIMARÃES, 000, União, MANAUS, AM",08h-17h,-3.0772960425728892,-60.01356959313854,Capital,Planilha unidades enfrentamento AM
CRAS,Centro De Referência De Assistência Social -,Manaus,AM,"RUA SÃO FRANCISCO, 76, SÃO RAIMUNDO, MANAUS, AM",08h-17h,-3.1266965996542204,-60.036624670028694,Capital,Planilha unidades enfrentamento AM
