tipo,nome,identificador,uf,municipio,latitude,longitude
CREAS,Creas Centro De Referencia Especializado Da Assistência Social - Mariana Seabra Nascimento,11304232898,AM,Tonantins,-2.86261,-67.773548
CREAS,Creas,13003093742,AM,Autazes,-3.583328,-59.130152
CREAS,Creas - Casa Da Esperança,11300602644,AM,Benjamin Constant,-4.378275,-70.02906
CREAS,Creas,13020098456,AM,Itapiranga,-2.74612,-58.025377
CREAS,Creas Ipixuna,13018098252,AM,Ipixuna,-7.050283,-71.691232
CREAS,Creas,13007099088,AM,Boca do Acre,-8.755349,-67.393087
CREAS,Creas,11300503487,AM,Barreirinha,-2.798863,-57.067897
CREAS,Creas - Centro De Referência Especializado De Assistência Social,13006398350,AM,Beruri,-3.900714,-61.371732
CREAS,Creas,13006894802,AM,Boa Vista do Ramos,-2.971693,-57.586982
CREAS,Creas Santa Souza,13008098234,AM,Borba,-4.393478,-59.594772
CREAS,Creas - Centro De Referencia Especializada De Assistencia Social,11303403114,AM,Parintins,-2.634457,-56.731932
CREAS,Creas Centro Sul,11302602018,AM,Manaus,-3.131633,-59.982504
CREAS,Creas Cidade Nova,13026096252,AM,Manaus,-3.131633,-59.982504
CREAS,Creas Sul,13026098544,AM,Manaus,-3.131633,-59.982504
CREAS,Creas Leste/Prourbis,13026098550,AM,Manaus,-3.131633,-59.982504
CREAS,Creas Centro Oeste,13026098552,AM,Manaus,-3.131633,-59.982504
CREAS,Creas Centro De Referência Especializada Da Assistencia Social,11304101732,AM,Tapauá,-5.623228,-63.187916
CREAS,Creas,13001499681,AM,Apuí,-7.194019,-59.883019
CREAS,Creas Izaura Ferreira Martins,13008398464,AM,Caapiranga,-3.318888,-61.20964
CREAS,Creas Eliney Ferreira Mendes,11301200453,AM,Coari,-4.088596,-63.143117
CREAS,Creas,13011096632,AM,Careiro,-3.818528,-60.361651
CREAS,Creas,13011594476,AM,Careiro da Várzea,-3.197024,-59.82591
CREAS,Creas - Sebastiana Enoy Monteiro Gomes,13014099342,AM,Eirunepé,-6.656765,-69.866161
CREAS,Creas,13022099172,AM,Juruá,-3.474667,-66.062234
CREAS,Creas - Centro De Referência Especializado De Assistência Social,11302403094,AM,Lábrea,-7.261368,-64.792451
CREAS,Creas - Centro De Referencia Especializado De Assistencia Social,11302902474,AM,Maués,-3.37958,-57.719607
CREAS,Creas - Laurinete Ferreira De Oliveira,11302502434,AM,Manacapuru,-3.299677,-60.621353
CREAS,Creas,13025597615,AM,Manaquiri,-3.430588,-60.459308
CREAS,Creas,13035099849,AM,Pauini,-7.712221,-66.999844
CREAS,Creas Edson De Souza Passos,13033097780,AM,Novo Aripuanã,-5.125929,-60.373179
CREAS,Creas,13035694418,AM,Rio Preto da Eva,-2.699065,-59.701249
CREAS,Creas,13039599587,AM,São Sebastião do Uatumã,-2.571934,-57.870362
CREAS,Creas Tefe I,11304201905,AM,Tefé,-3.348528,-64.710228
CREAS,Creas -Centro De Referencia Especializado Da Assistencia Social,11304303115,AM,Urucará,-2.537073,-57.759025
CREAS,Creas,13044098960,AM,Urucurituba,-3.130433,-58.154916
CREAS,Creas - Centro De Referência Especializada De Assistência Social,11300023129,AM,Alvarães,-3.215579,-64.814833
CREAS,Creas,13001099535,AM,Anori,-3.743525,-61.66052
CREAS,Creas - Sentinela Do Javarí,13002098356,AM,Atalaia do Norte,-4.365855,-70.190874
CREAS,Creas - Centro De Referencia Especializado De Assistencia Social,11300400493,AM,Barcelos,-0.972921,-62.925635
CREAS,Creas Carauari,11301002668,AM,Carauari,-4.876643,-66.896143
CREAS,Creas,13015098764,AM,Envira,-7.437889,-70.028143
CREAS,Creas Jutai,13023098326,AM,Jutaí,-2.747148,-66.772126
CREAS,Creas Maria Da Gloria Dos Reis Morais,13027098360,AM,Manicoré,-5.804618,-61.289483
CREAS,Creas Maraa,11302803106,AM,Maraã,-1.853558,-65.589775
CREAS,Creas -Centro De Referência Especializado De Assistência Social,13032096096,AM,Novo Airão,-2.626024,-60.943441
CREAS,Creas Centro De Referência Especializado Da Assistência Social De Nhamundá,11303002411,AM,Nhamundá,-2.192152,-56.711131
CREAS,Creas Nova Olinda Do Norte,11303102486,AM,Nova Olinda do Norte,-3.894466,-59.088384
CREAS,Creas Centro De Referencia Especializado Da Assistencia Social,11303532351,AM,Presidente Figueiredo,-2.048636,-60.023666
CREAS,Creas,13036096942,AM,Santa Isabel do Rio Negro,-0.416039,-65.01531
CREAS,Creas - Centro De Referencia Especializada De Assistencia,11303802871,AM,São Gabriel da Cachoeira,-0.124971,-67.081385
CREAS,Creas De Santo Antonio Do Ica,13037098050,AM,Santo Antônio do Içá,-3.095443,-67.946279
CREAS,Creas,13039099208,AM,São Paulo de Olivença,-3.465063,-68.946846
CREAS,Creas Tabatinga,11304062554,AM,Tabatinga,-4.224725,-69.93622
CREAS,Creas Iranduba,13018594210,AM,Iranduba,-3.27582,-60.186743
CREAS,Creas Centro Especializado De Referência Da Assistência Social,11301902851,AM,Itacoatiara,-3.14779,-58.446104
CREAS,Creas Codajás Elza De Lima Maia,13013099226,AM,Codajás,-3.84132,-62.060344
CREAS,Creas,13019598346,AM,Itamarati,-6.438519,-68.243739
CREAS,Creas Centro De Referência Especializado De Assistência Social,11300902055,AM,Canutama,-6.533002,-64.383497
CREAS,Creas,13021098380,AM,Japurá,-1.880847,-66.996766
CREAS,Creas,13016096430,AM,Fonte Boa,-2.514746,-66.094842
CREAS,Creas - Casa Dos Direitos Especiais,13017095464,AM,Humaitá,-7.50994,-63.024867
CRAS,CRAS 7 de Setembro,,AM,Urucurituba,-3.130433,-58.154916
CRAS,CRAS Crispim Lobo,,AM,Urucará,-2.537073,-57.759025
CRAS,CRAS Castelo Branco,,AM,Uarini,-2.982706,-65.157861
CRAS,CRAS Benjamin Constant,,AM,Tonantins,-2.86261,-67.773548
CRAS,CRAS Jerusalém,,AM,Tefé,-3.348528,-64.710228
CRAS,CRAS Abial,,AM,Tefé,-3.348528,-64.710228
CRAS,CRAS Monteiro de Souza,,AM,Tefé,-3.348528,-64.710228
CRAS,CRAS Central de Tapauá,,AM,Tapauá,-5.623228,-63.187916
CRAS,CRAS Comunidade São Francisco,,AM,Tabatinga,-4.224725,-69.93622
CRAS,CRAS Marechal Mallet,,AM,Tabatinga,-4.224725,-69.93622
CRAS,CRAS Coronel José Esteves,,AM,Silves,-2.837261,-58.21052
CRAS,CRAS Centro,,AM,São Sebastião do Uatumã,-2.571934,-57.870362
CRAS,CRAS Barão do Rio Branco,,AM,São Paulo de Olivença,-3.465063,-68.946846
CRAS,CRAS Dabaru,,AM,São Gabriel da Cachoeira,-0.124971,-67.081385
CRAS,CRAS Álvaro Maia,,AM,São Gabriel da Cachoeira,-0.124971,-67.081385
CRAS,CRAS Rui Barbosa,,AM,Santo Antônio do Içá,-3.095443,-67.946279
CRAS,CRAS João Pessoa,,AM,Santa Isabel do Rio Negro,-0.416039,-65.01531
CRAS,CRAS Governador Ângelo Amaral,,AM,Rio Preto da Eva,-2.699065,-59.701249
CRAS,CRAS Maroaga,,AM,Presidente Figueiredo,-2.048636,-60.023666
CRAS,CRAS Urubuí,,AM,Presidente Figueiredo,-2.048636,-60.023666
CRAS,CRAS Getúlio Vargas,,AM,Pauini,-7.712221,-66.999844
CRAS,CRAS Itaúna II,,AM,Parintins,-2.634457,-56.731932
CRAS,CRAS União,,AM,Parintins,-2.634457,-56.731932
CRAS,CRAS Paulo Corrêa,,AM,Parintins,-2.634457,-56.731932
CRAS,CRAS Vila Novo Horizonte,,AM,Novo Aripuanã,-5.125929,-60.373179
CRAS,CRAS 16 de Fevereiro,,AM,Novo Aripuanã,-5.125929,-60.373179
CRAS,CRAS Antenor Carlos Frederico,,AM,Novo Airão,-2.626024,-60.943441
CRAS,CRAS Triunfo,,AM,Nova Olinda do Norte,-3.894466,-59.088384
CRAS,CRAS Furtado Belém,,AM,Nhamundá,-2.192152,-56.711131
CRAS,CRAS Castelo Branco,,AM,Maraã,-1.853558,-65.589775
CRAS,CRAS Auxiliadora,,AM,Manicoré,-5.804618,-61.289483
CRAS,CRAS 5 de Setembro,,AM,Manaquiri,-3.430588,-60.459308
CRAS,CRAS Novo Manacá,,AM,Manacapuru,-3.299677,-60.621353
CRAS,CRAS São José,,AM,Manacapuru,-3.299677,-60.621353
CRAS,CRAS Terra Preta,,AM,Manacapuru,-3.299677,-60.621353
CRAS,CRAS 22 de Outubro,,AM,Lábrea,-7.261368,-64.792451
CRAS,CRAS Francisco de Paula,,AM,Juruá,-3.474667,-66.062234
CRAS,CRAS Coronel Salgado,,AM,Japurá,-1.880847,-66.996766
CRAS,CRAS Beira Rio,,AM,Itamarati,-6.438519,-68.243739
CRAS,CRAS Mamoud Amed,,AM,Itacoatiara,-3.14779,-58.446104
CRAS,CRAS Jauary,,AM,Itacoatiara,-3.14779,-58.446104
CRAS,CRAS Benjamin Constant,,AM,Itacoatiara,-3.14779,-58.446104
CRAS,CRAS Rio Madeira,,AM,Iranduba,-3.27582,-60.186743
CRAS,CRAS Amazonas,,AM,Ipixuna,-7.050283,-71.691232
CRAS,CRAS São Domingos Sávio,,AM,Humaitá,-7.50994,-63.024867
CRAS,CRAS 5 de Setembro,,AM,Humaitá,-7.50994,-63.024867
CRAS,CRAS Marechal Rondon,,AM,Fonte Boa,-2.514746,-66.094842
CRAS,CRAS Senador Fábio Lucena,,AM,Envira,-7.437889,-70.028143
CRAS,CRAS Santo Antônio,,AM,Eirunepé,-6.656765,-69.866161
CRAS,CRAS Getúlio Vargas,,AM,Eirunepé,-6.656765,-69.866161
CRAS,CRAS Quintino Bocaiuva,,AM,Codajás,-3.84132,-62.060344
CRAS,CRAS Urucu,,AM,Coari,-4.088596,-63.143117
CRAS,CRAS 5 de Setembro,,AM,Coari,-4.088596,-63.143117
CRAS,CRAS Solimões,,AM,Careiro da Várzea,-3.197024,-59.82591
CRAS,CRAS Santa Luzia,,AM,Carauari,-4.876643,-66.896143
CRAS,CRAS Rui Barbosa,,AM,Carauari,-4.876643,-66.896143
CRAS,CRAS João Batista,,AM,Canutama,-6.533002,-64.383497
CRAS,CRAS Marechal Deodoro,,AM,Caapiranga,-3.318888,-61.20964
CRAS,CRAS Getúlio Vargas,,AM,Borba,-4.393478,-59.594772
CRAS,CRAS Platô do Piquiá,,AM,Boca do Acre,-8.755349,-67.393087
CRAS,CRAS 7 de Setembro,,AM,Boca do Acre,-8.755349,-67.393087
CRAS,CRAS Castelo Branco,,AM,Boa Vista do Ramos,-2.971693,-57.586982
CRAS,CRAS Frei Ludovico,,AM,Benjamin Constant,-4.378275,-70.02906
CRAS,CRAS Boa Vista,,AM,Barreirinha,-2.798863,-57.067897
CRAS,CRAS Tenreiro Aranha,,AM,Barcelos,-0.972921,-62.925635
CRAS,CRAS 1º de Maio,,AM,Atalaia do Norte,-4.365855,-70.190874
CRAS,CRAS 31 de Março,,AM,Anori,-3.743525,-61.66052
CRAS,CRAS Raimundo Pereira,,AM,Anamã,-3.579736,-61.405
CRAS,CRAS Beira Rio,,AM,Amaturá,-3.364051,-68.199469
CRAS,CRAS João Paulo II,,AM,Alvarães,-3.215579,-64.814833
CRAS,CRAS Donga Michiles,,AM,Maués,-3.37958,-57.719607
CRAS,CRAS Quintino Bocaiuva,,AM,Maués,-3.37958,-57.719607
