codigo_ibge,municipio,uf,ano,casos_violencia_feminina
130002,Alvaraes,AM,2025,30
130006,Amatura,AM,2025,17
130008,Anama,AM,2025,10
130010,Anori,AM,2025,5
130014,Apui,AM,2025,15
130020,Atalaia Do Norte,AM,2025,67
130030,Autazes,AM,2025,42
130040,Barcelos,AM,2025,83
130050,Barreirinha,AM,2025,100
130060,Benjamin Constant,AM,2025,120
130063,Beruri,AM,2025,30
130068,Boa Vista Do Ramos,AM,2025,17
130070,Boca Do Acre,AM,2025,39
130080,Borba,AM,2025,118
130083,Caapiranga,AM,2025,7
130090,Canutama,AM,2025,6
130100,Carauari,AM,2025,91
130110,Careiro,AM,2025,76
130115,Careiro Da Varzea,AM,2025,5
130120,Coari,AM,2025,261
130130,Codajas,AM,2025,14
130140,Eirunepe,AM,2025,145
130150,Envira,AM,2025,60
130160,Fonte Boa,AM,2025,61
130165,Guajara,AM,2025,52
130170,Humaita,AM,2025,101
130180,Ipixuna,AM,2025,37
130185,Iranduba,AM,2025,21
130190,Itacoatiara,AM,2025,228
130195,Itamarati,AM,2025,8
130200,Itapiranga,AM,2025,20
130210,Japura,AM,2025,9
130220,Jurua,AM,2025,31
130230,Jutai,AM,2025,33
130240,Labrea,AM,2025,41
130250,Manacapuru,AM,2025,350
130255,Manaquiri,AM,2025,34
130260,Manaus,AM,2025,2497
130270,Manicore,AM,2025,79
130280,Maraa,AM,2025,53
130290,Maues,AM,2025,209
130300,Nhamunda,AM,2025,25
130310,Nova Olinda Do Norte,AM,2025,45
130320,Novo Airao,AM,2025,20
130330,Novo Aripuana,AM,2025,34
130340,Parintins,AM,2025,228
130350,Pauini,AM,2025,24
130353,Presidente Figueiredo,AM,2025,91
130356,Rio Preto Da Eva,AM,2025,37
130360,Santa Isabel Do Rio Negro,AM,2025,44
130370,Santo Antonio Do Ica,AM,2025,87
130380,Sao Gabriel Da Cachoeira,AM,2025,168
130390,Sao Paulo De Olivenca,AM,2025,83
130395,Sao Sebastiao Do Uatuma,AM,2025,17
130400,Silves,AM,2025,61
130406,Tabatinga,AM,2025,93
130410,Tapaua,AM,2025,15
130420,Tefe,AM,2025,321
130423,Tonantins,AM,2025,93
130426,Uarini,AM,2025,13
130430,Urucara,AM,2025,28
130440,Urucurituba,AM,2025,9
