tipo,nome,identificador,uf,municipio
CRAS,Cras União,13026004389,AM,Manaus
CRAS,Cras Alfredo Nascimento,13026002579,AM,Manaus
CRAS,Cras Cachoeirinha,13026002589,AM,Manaus
CRAS,Cras São Jose Iii,13026002718,AM,Manaus
CRAS,Cras Alvorada I,13026002590,AM,Manaus
CRAS,Cras Mutirão,13026002599,AM,Manaus
CRAS,Cras Crespo,13026002719,AM,Manaus
CRAS,Cras Compensa I,13026002585,AM,Manaus
CRAS,Cras Betânia,13026002583,AM,Manaus
CRAS,Cras Compensa Ii,13026002644,AM,Manaus
CRAS,Cras São José Iv,13026002721,AM,Manaus
CRAS,Cras Cidade Nova,13026002569,AM,Manaus
CRAS,Cras Redenção,13026002633,AM,Manaus
CRAS,Cras São Raimundo,13026032421,AM,Manaus
CRAS,Cras Colônia Antônio Aleixo,13026032471,AM,Manaus
CRAS,Cras Terra Nova,13026034687,AM,Manaus
CRAS,Cras Alvorada Iii,13026034697,AM,Manaus
CRAS,Cras Nossa Senhora Da Conceicão,13026034709,AM,Manaus
CRAS,Cras Japiim,13026038558,AM,Manaus
CRAS,Cras Prourbis,13026038560,AM,Manaus
